# z_mid nz_bin1_blue nz_bin2_blue nz_bin3_blue nz_bin4_blue nz_bin5_blue nz_bin1_red nz_bin2_red nz_bin3_red nz_bin4_red nz_bin5_red
2.875 0.005373 0.037464 0.038715 0.008634 0.005629 0.000000 0.000673 0.000542 0.000193 0.000024
2.925 0.013666 0.026787 0.054830 0.038075 0.033937 0.000000 0.000785 0.001620 0.002383 0.001499
2.975 0.009254 0.016493 0.032330 0.011079 0.011472 0.003237 0.000648 0.000674 0.000328 0.000002
3.025 0.003191 0.009992 0.021569 0.007308 0.002823 0.011861 0.003635 0.001321 0.000000 0.000000
3.075 0.013157 0.016634 0.017532 0.006380 0.005440 0.000000 0.000013 0.000301 0.000006 0.000000
3.125 0.047196 0.014358 0.017885 0.008171 0.005733 0.000297 0.000076 0.000443 0.000281 0.000045
3.175 0.000536 0.004699 0.013979 0.009674 0.008751 0.000000 0.000512 0.000440 0.000697 0.000212
3.225 0.000000 0.004161 0.010846 0.004724 0.002380 0.000000 0.000000 0.000120 0.000005 0.000042
3.275 0.000528 0.017395 0.019903 0.009767 0.009071 0.000000 0.000240 0.000129 0.000263 0.000030
3.325 0.019572 0.046554 0.049677 0.015808 0.007720 0.000412 0.000474 0.000376 0.000067 0.000024
3.375 0.000280 0.004590 0.004623 0.001596 0.000888 0.000000 0.000306 0.000210 0.000000 0.000000
3.425 0.000302 0.001476 0.005709 0.001656 0.001654 0.000000 0.000014 0.000318 0.000027 0.000000
3.475 0.000302 0.029712 0.028028 0.012772 0.007139 0.000000 0.006985 0.005353 0.003822 0.003052
3.525 0.000000 0.001843 0.006922 0.002505 0.000729 0.000000 0.000000 0.000000 0.000000 0.000000
3.575 0.000000 0.004322 0.008393 0.001614 0.001734 0.009851 0.018967 0.012022 0.000005 0.000000
3.625 0.000111 0.006174 0.008250 0.003485 0.002466 0.000000 0.000468 0.000319 0.000042 0.000061
3.675 0.000000 0.011520 0.008716 0.001025 0.000495 0.000896 0.001896 0.000303 0.000024 0.000093
3.725 0.000000 0.005232 0.014209 0.009430 0.008348 0.000000 0.000470 0.000514 0.000722 0.000255
3.775 0.000000 0.002205 0.003902 0.002079 0.001940 0.000000 0.000065 0.000102 0.000196 0.000070
3.825 0.000101 0.006095 0.018479 0.018325 0.014557 0.000274 0.000990 0.000791 0.000285 0.000031
3.875 0.000252 0.014545 0.008126 0.004440 0.003137 0.000000 0.000419 0.000237 0.000098 0.000090
3.925 0.000000 0.000226 0.002774 0.001326 0.000581 0.000000 0.000000 0.000174 0.000365 0.000030
3.975 0.000000 0.000013 0.000503 0.000131 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.025 0.000000 0.000000 0.001184 0.000992 0.000768 0.000000 0.000000 0.000000 0.000000 0.000000
4.075 0.000000 0.001051 0.001422 0.000400 0.000069 0.000000 0.000000 0.000000 0.000000 0.000000
4.125 0.000000 0.001689 0.002621 0.000954 0.001542 0.000000 0.000266 0.000184 0.000091 0.000192
4.175 0.000000 0.011008 0.005745 0.005317 0.002449 0.000232 0.006998 0.001185 0.000301 0.000202
4.225 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.275 0.000000 0.002274 0.004976 0.004070 0.002290 0.000000 0.000256 0.000226 0.000308 0.000532
4.325 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.375 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.425 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.475 0.032266 0.004583 0.002400 0.003679 0.003176 0.000000 0.000826 0.002105 0.002597 0.000538
4.525 0.000000 0.000786 0.004272 0.003130 0.002801 0.000000 0.000000 0.000022 0.000074 0.000002
4.575 0.000000 0.000234 0.000994 0.000428 0.000002 0.000000 0.000000 0.000000 0.000000 0.000000
4.625 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.675 0.000000 0.000000 0.000000 0.000017 0.000321 0.000000 0.000767 0.002192 0.003658 0.000957
4.725 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.775 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.825 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.875 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.925 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.975 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.025 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.075 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.125 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.175 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.225 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.275 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.325 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.375 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.425 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.475 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.525 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.575 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.625 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.675 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.725 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.775 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.825 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.875 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.925 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.975 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
